time,elbow_moment_Nm,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,act_elbow_assist,frc_TRIlong,frc_TRIlat,frc_TRImed,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,rep_index,fatigue_level
-0.00000,1.74698,0.01003,0.01007,0.01007,0.07236,0.03145,0.05995,0.02966,0.00445,7.39629,5.06032,4.75607,41.44695,13.43941,59.03184,6.88523,1,0.00000
0.01000,1.76741,0.01003,0.01007,0.01007,0.07304,0.03176,0.06053,0.02994,0.00450,7.39768,5.06139,4.75706,41.83480,13.56907,59.59669,6.94866,1,0.00050
0.02000,1.78770,0.01003,0.01007,0.01007,0.07374,0.03208,0.06113,0.03022,0.00454,7.40229,5.06507,4.76051,42.21881,13.70193,60.16371,7.01228,1,0.00110
0.03000,1.80776,0.01003,0.01007,0.01007,0.07444,0.03241,0.06173,0.03050,0.00459,7.41004,5.07140,4.76645,42.59938,13.83548,60.73039,7.07270,1,0.00160
0.04000,1.82744,0.01003,0.01007,0.01007,0.07515,0.03275,0.06234,0.03078,0.00463,7.42080,5.08029,4.77481,42.97174,13.97058,61.28500,7.13194,1,0.00210
0.05000,1.84663,0.01003,0.01007,0.01007,0.07585,0.03310,0.06293,0.03107,0.00468,7.43442,5.09164,4.78549,43.33167,14.10719,61.81724,7.19134,1,0.00260
0.06000,1.86519,0.01003,0.01007,0.01007,0.07645,0.03352,0.06343,0.03160,0.00476,7.45070,5.10485,4.79836,43.62435,14.27176,62.23810,7.30616,1,0.00320
0.07000,1.88305,0.01003,0.01005,0.01003,0.07681,0.03423,0.06350,0.03291,0.00468,7.46979,5.11440,4.79501,43.77082,14.55910,62.23085,7.59831,1,0.00370
0.08000,1.90018,0.01004,0.01018,0.01021,0.07772,0.03451,0.06440,0.03265,0.00480,7.49707,5.19913,4.89669,44.22620,14.65757,63.03253,7.52769,1,0.00420
0.09000,1.91666,0.01004,0.01015,0.01017,0.07844,0.03472,0.06499,0.03269,0.00485,7.51878,5.20406,4.89849,44.56636,14.72657,63.51697,7.52401,1,0.00470
0.10000,1.93269,0.01004,0.01012,0.01014,0.07909,0.03504,0.06548,0.03289,0.00490,7.54120,5.21246,4.90482,44.85602,14.83778,63.88398,7.55744,1,0.00530
0.11000,1.94851,0.01003,0.01010,0.01011,0.07974,0.03536,0.06595,0.03307,0.00495,7.56564,5.22345,4.91344,45.14499,14.94629,64.23014,7.58405,1,0.00580
0.12000,1.96442,0.01003,0.01008,0.01008,0.08039,0.03571,0.06638,0.03329,0.00499,7.59177,5.23793,4.92561,45.42589,15.06624,64.53479,7.61866,1,0.00630
0.13000,1.98067,0.01003,0.01007,0.01007,0.08106,0.03609,0.06680,0.03355,0.00503,7.61998,5.25934,4.94498,45.70789,15.19703,64.81175,7.66126,1,0.00680
0.14000,1.99737,0.01003,0.01018,0.01021,0.08143,0.03708,0.06681,0.03489,0.00505,7.65367,5.34840,5.04363,45.81457,15.58226,64.69676,7.95049,1,0.00740
0.15000,2.01450,0.01003,0.01005,0.01006,0.08226,0.03714,0.06734,0.03461,0.00510,7.68044,5.31149,4.99409,46.17605,15.57484,65.06762,7.86739,1,0.00790
0.16000,2.03188,0.01003,0.01005,0.01006,0.08300,0.03752,0.06774,0.03484,0.00515,7.71242,5.34446,5.02507,46.48597,15.69895,65.30550,7.90006,1,0.00840
0.17000,2.04922,0.01003,0.01005,0.01006,0.08371,0.03796,0.06805,0.03517,0.00519,7.74489,5.37736,5.05657,46.76642,15.84295,65.45208,7.95396,1,0.00890
0.18000,2.06616,0.01003,0.01005,0.01006,0.08441,0.03840,0.06831,0.03549,0.00523,7.77790,5.41153,5.08933,47.03249,15.98453,65.54262,8.00619,1,0.00950
0.19000,2.08241,0.01003,0.01005,0.01006,0.08508,0.03882,0.06852,0.03579,0.00527,7.81078,5.44737,5.12478,47.27899,16.12049,65.57634,8.05227,1,0.01000
0.20000,2.09778,0.01003,0.01005,0.01005,0.08567,0.03928,0.06859,0.03620,0.00529,7.84444,5.48154,5.15694,47.47953,16.26552,65.48174,8.12044,1,0.01050
0.21000,2.11229,0.01003,0.01005,0.01005,0.08627,0.03969,0.06865,0.03649,0.00532,7.87758,5.51853,5.19261,47.67635,16.38716,65.36498,8.16245,1,0.01100
0.22000,2.12624,0.01003,0.01005,0.01005,0.08684,0.04008,0.06864,0.03677,0.00534,7.91025,5.55614,5.22896,47.85337,16.50262,65.18407,8.20165,1,0.01160
0.23000,2.14012,0.01003,0.01005,0.01005,0.08739,0.04047,0.06857,0.03705,0.00535,7.94225,5.59424,5.26589,48.01951,16.61450,64.95244,8.23945,1,0.01210
0.24000,2.15458,0.01003,0.01005,0.01005,0.08795,0.04087,0.06847,0.03733,0.00537,7.97351,5.63276,5.30331,48.18564,16.72709,64.68595,8.27789,1,0.01260
0.25000,2.17026,0.01003,0.01005,0.01005,0.08853,0.04128,0.06834,0.03762,0.00538,8.00400,5.67173,5.34127,48.36272,16.84367,64.40137,8.31862,1,0.01310
0.26000,2.18757,0.01003,0.01005,0.01005,0.08916,0.04172,0.06821,0.03794,0.00540,8.03379,5.71122,5.37982,48.55777,16.96626,64.11022,8.36264,1,0.01370
0.27000,2.20660,0.01003,0.01005,0.01005,0.08983,0.04217,0.06807,0.03827,0.00541,8.06295,5.75133,5.41908,48.77075,17.09500,63.81421,8.40999,1,0.01420
0.28000,2.22697,0.01003,0.01005,0.01005,0.09053,0.04264,0.06792,0.03862,0.00542,8.09156,5.79212,5.45910,48.99372,17.22730,63.50462,8.45943,1,0.01470
0.29000,2.24795,0.01003,0.01005,0.01005,0.09123,0.04312,0.06774,0.03897,0.00544,8.11958,5.83362,5.49991,49.21220,17.35812,63.16437,8.50861,1,0.01520
0.30000,2.26866,0.01003,0.01005,0.01005,0.09191,0.04358,0.06750,0.03932,0.00545,8.14693,5.87577,5.54147,49.40897,17.48121,62.77316,8.55466,1,0.01580
0.31000,2.28829,0.01003,0.01005,0.01005,0.09252,0.04402,0.06719,0.03964,0.00545,8.17339,5.91844,5.58364,49.56910,17.59085,62.31415,8.59503,1,0.01630
0.32000,2.30640,0.01003,0.01005,0.01005,0.09307,0.04443,0.06680,0.03993,0.00544,8.19871,5.96144,5.62626,49.68465,17.68354,61.77983,8.62831,1,0.01680
0.33000,2.32307,0.01003,0.01005,0.01005,0.09354,0.04480,0.06632,0.04019,0.00543,8.22262,6.00457,5.66913,49.75720,17.75905,61.17501,8.65463,1,0.01730
0.34000,2.33885,0.01003,0.01005,0.01005,0.09396,0.04513,0.06578,0.04044,0.00542,8.24491,6.04765,5.71210,49.79708,17.82033,60.51547,8.67559,1,0.01790
0.35000,2.35458,0.01003,0.01005,0.01005,0.09434,0.04545,0.06519,0.04066,0.00540,8.26545,6.09060,5.75508,49.81942,17.87227,59.82285,8.69366,1,0.01840
0.36000,2.37109,0.01003,0.01005,0.01005,0.09473,0.04576,0.06459,0.04089,0.00538,8.28423,6.13338,5.79803,49.83859,17.91978,59.11762,8.71122,1,0.01890
0.37000,2.38887,0.01003,0.01005,0.01005,0.09512,0.04608,0.06397,0.04113,0.00536,8.30131,6.17602,5.84099,49.86281,17.96584,58.41267,8.72969,1,0.01940
0.38000,2.40791,0.01003,0.01005,0.01005,0.09553,0.04639,0.06336,0.04137,0.00533,8.31679,6.21858,5.88402,49.89134,18.01038,57.71007,8.74898,1,0.02000
0.39000,2.42773,0.01003,0.01005,0.01005,0.09594,0.04671,0.06273,0.04161,0.00531,8.33071,6.26111,5.92714,49.91507,18.05033,57.00213,8.76763,1,0.02050
0.40000,2.44753,0.01003,0.01005,0.01005,0.09633,0.04700,0.06208,0.04183,0.00528,8.34309,6.30358,5.97035,49.92047,18.08087,56.27606,8.78336,1,0.02100
0.41000,2.46657,0.01003,0.01005,0.01005,0.09666,0.04726,0.06139,0.04204,0.00525,8.35385,6.34592,6.01357,49.89513,18.09739,55.52039,8.79404,1,0.02150
0.42000,2.48442,0.01003,0.01005,0.01005,0.09692,0.04749,0.06066,0.04222,0.00522,8.36287,6.38801,6.05670,49.83278,18.09728,54.73052,8.79856,1,0.02210
0.43000,2.50116,0.01003,0.01005,0.01005,0.09712,0.04767,0.05989,0.04238,0.00518,8.37003,6.42972,6.09959,49.73582,18.08101,53.91140,8.79725,1,0.02260
0.44000,2.51732,0.01003,0.01005,0.01005,0.09727,0.04783,0.05909,0.04251,0.00514,8.37523,6.47094,6.14215,49.61446,18.05194,53.07630,8.79178,1,0.02310
0.45000,2.53370,0.01003,0.01005,0.01005,0.09740,0.04797,0.05828,0.04264,0.00510,8.37848,6.51161,6.18433,49.48281,18.01509,52.24256,8.78457,1,0.02360
0.46000,2.55106,0.01003,0.01005,0.01005,0.09754,0.04811,0.05749,0.04276,0.00505,8.37985,6.55175,6.22613,49.35357,17.97521,51.42589,8.77782,1,0.02420
0.47000,2.56978,0.01005,0.01025,0.01028,0.09766,0.04845,0.05681,0.04338,0.00501,8.39901,6.71959,6.40910,49.21204,18.01253,50.71466,8.87142,1,0.02470
0.48000,2.58974,0.01003,0.01006,0.01006,0.09793,0.04839,0.05602,0.04294,0.00498,8.37747,6.63578,6.31511,49.14343,17.89434,49.90459,8.74701,1,0.02520
0.49000,2.61025,0.01003,0.01007,0.01008,0.09810,0.04854,0.05529,0.04314,0.00494,8.37499,6.68566,6.36828,49.02116,17.85444,49.15718,8.75439,1,0.02570
0.50000,2.63020,0.01003,0.01008,0.01009,0.09821,0.04867,0.05456,0.04335,0.00489,8.37032,6.73088,6.41678,48.86685,17.80389,48.40693,8.76183,1,0.02630
0.51000,2.64836,0.01003,0.01005,0.01006,0.09832,0.04872,0.05380,0.04329,0.00485,8.36217,6.74774,6.43311,48.70536,17.72325,47.64118,8.71555,1,0.02680
0.52000,2.66369,0.01003,0.01005,0.01006,0.09826,0.04874,0.05301,0.04339,0.00484,8.35391,6.78504,6.47286,48.45842,17.63109,46.84426,8.70033,1,0.02730
0.53000,2.67560,0.01003,0.01005,0.01006,0.09812,0.04869,0.05217,0.04337,0.00476,8.34375,6.82195,6.51253,48.17537,17.51199,46.01408,8.66013,1,0.02780
0.54000,2.68414,0.01003,0.01005,0.01006,0.09763,0.04842,0.05152,0.04321,0.00470,8.33155,6.85764,6.55105,47.72144,17.31256,45.31229,8.59446,1,0.02840
0.55000,2.69005,0.01003,0.01006,0.01006,0.09652,0.04769,0.05140,0.04272,0.00459,8.31720,6.89214,6.58854,46.97613,16.95449,44.97914,8.46457,1,0.02890
0.56000,2.69462,0.01003,0.01018,0.01021,0.09486,0.04722,0.05138,0.04312,0.00448,8.30019,7.01248,6.72714,45.97327,16.69243,44.74176,8.51051,1,0.02940
0.57000,2.69944,0.01003,0.01006,0.01006,0.09430,0.04623,0.05105,0.04176,0.00437,8.28170,6.95633,6.65929,45.51063,16.24962,44.23345,8.21351,1,0.02990
0.58000,2.70600,0.01003,0.01006,0.01006,0.09327,0.04555,0.05089,0.04134,0.00427,8.26074,6.98656,6.69330,44.83227,15.92062,43.86870,8.10273,1,0.03050
0.59000,2.71533,0.01003,0.01006,0.01006,0.09235,0.04493,0.05076,0.04099,0.00418,8.23801,7.01643,6.72732,44.20800,15.61631,43.53472,8.00578,1,0.03100
0.60000,2.72763,0.01003,0.01007,0.01008,0.09153,0.04439,0.05067,0.04071,0.00410,8.21393,7.05109,6.76693,43.63934,15.34009,43.24209,7.92304,1,0.03150
0.61000,2.74219,0.01003,0.01009,0.01010,0.09081,0.04391,0.05063,0.04047,0.00402,8.18929,7.09052,6.81158,43.11620,15.08790,42.98341,7.84992,1,0.03200
0.62000,2.75743,0.01003,0.01010,0.01010,0.09019,0.04344,0.05061,0.04018,0.00396,8.16408,7.12050,6.84524,42.63836,14.83687,42.73899,7.76354,1,0.03260
0.63000,2.77127,0.01003,0.01008,0.01008,0.08959,0.04294,0.05058,0.03983,0.00389,8.13695,7.13370,6.86085,42.16146,14.57657,42.47856,7.66683,1,0.03310
0.64000,2.78165,0.01003,0.01007,0.01008,0.08891,0.04244,0.05051,0.03948,0.00383,8.10944,7.15310,6.88332,41.64898,14.31390,42.18485,7.57009,1,0.03360
0.65000,2.78707,0.01012,0.01065,0.01070,0.08778,0.04268,0.05059,0.04033,0.00374,8.14833,7.58917,7.34100,40.92318,14.30364,42.02399,7.70249,1,0.03410
0.66000,2.78694,0.01008,0.01047,0.01051,0.08690,0.04190,0.05024,0.03966,0.00367,8.08962,7.48277,7.23559,40.32189,13.95093,41.49659,7.54370,1,0.03470
0.67000,2.78169,0.01006,0.01033,0.01036,0.08589,0.04112,0.04984,0.03903,0.00360,8.03832,7.40138,7.15573,39.66571,13.60446,40.93811,7.39387,1,0.03520
0.68000,2.77262,0.01005,0.01023,0.01025,0.08486,0.04032,0.04942,0.03837,0.00353,7.99458,7.35053,7.10605,39.00827,13.25497,40.37145,7.24231,1,0.03570
0.69000,2.76142,0.01004,0.01017,0.01018,0.08380,0.03954,0.04899,0.03775,0.00346,7.95484,7.32217,7.07937,38.35080,12.91660,39.80674,7.09853,1,0.03630
0.70000,2.74973,0.01004,0.01013,0.01014,0.08273,0.03880,0.04856,0.03719,0.00339,7.91611,7.30736,7.06712,37.69981,12.59917,39.24849,6.97027,1,0.03680
0.71000,2.73876,0.01004,0.01010,0.01011,0.08172,0.03809,0.04815,0.03666,0.00332,7.87762,7.30238,7.06492,37.08880,12.29436,38.72265,6.84807,1,0.03730
0.72000,2.72916,0.01004,0.01009,0.01010,0.08075,0.03745,0.04776,0.03622,0.00326,7.83840,7.30483,7.07111,36.50130,12.01753,38.21480,6.74484,1,0.03780
0.73000,2.72105,0.01004,0.01008,0.01009,0.07989,0.03682,0.04742,0.03577,0.00320,7.79863,7.30746,7.07708,35.96797,11.74514,37.76021,6.63982,1,0.03840
0.74000,2.71431,0.01004,0.01046,0.01050,0.07856,0.03702,0.04704,0.03644,0.00312,7.75940,7.58706,7.37888,35.22754,11.74037,37.27435,6.74355,1,0.03890
0.75000,2.70869,0.01004,0.01040,0.01043,0.07768,0.03655,0.04667,0.03615,0.00306,7.71609,7.54852,7.34505,34.69612,11.52574,36.81044,6.66846,1,0.03940
0.76000,2.70385,0.01004,0.01014,0.01016,0.07718,0.03569,0.04635,0.03543,0.00302,7.67713,7.37164,7.16396,34.33046,11.18732,36.37987,6.51583,1,0.03990
0.77000,2.69929,0.01004,0.01021,0.01024,0.07649,0.03553,0.04618,0.03543,0.00298,7.64586,7.43906,7.23930,33.88279,11.07055,36.07387,6.49441,1,0.04050
0.78000,2.69413,0.01004,0.01007,0.01008,0.07610,0.03491,0.04604,0.03498,0.00295,7.61654,7.34913,7.14481,33.56242,10.81068,35.79104,6.38947,1,0.04100
0.79000,2.68702,0.01004,0.01011,0.01012,0.07556,0.03463,0.04589,0.03483,0.00292,7.58540,7.39627,7.19904,33.17395,10.65739,35.50857,6.33845,1,0.04150
0.80000,2.67632,0.01004,0.01005,0.01006,0.07495,0.03422,0.04569,0.03460,0.00288,7.55413,7.36862,7.17018,32.75127,10.46517,35.18024,6.27304,1,0.04200
0.81000,2.66044,0.01004,0.01010,0.01011,0.07425,0.03390,0.04545,0.03440,0.00285,7.52186,7.41482,7.22556,32.29238,10.30226,34.82598,6.21257,1,0.04260
0.82000,2.63842,0.01004,0.01014,0.01016,0.07327,0.03367,0.04507,0.03430,0.00280,7.48883,7.46001,7.27885,31.71949,10.17027,34.37252,6.17213,1,0.04310
0.83000,2.61037,0.01005,0.01006,0.01006,0.07250,0.03291,0.04468,0.03373,0.00277,7.45461,7.40874,7.22426,31.24421,9.87794,33.92245,6.04676,1,0.04360
0.84000,2.57765,0.01005,0.01008,0.01008,0.07158,0.03226,0.04422,0.03327,0.00273,7.41903,7.43516,7.24876,30.71559,9.62838,33.43159,5.94431,1,0.04410
0.85000,2.54265,0.01005,0.01009,0.01009,0.07039,0.03186,0.04362,0.03297,0.00267,7.38201,7.44352,7.27156,30.08715,9.45625,32.85264,5.87183,1,0.04470
0.86000,2.50815,0.01005,0.01006,0.01005,0.06943,0.03115,0.04311,0.03249,0.00264,7.34368,7.42603,7.24735,29.56957,9.19615,32.34764,5.77032,1,0.04520
0.87000,2.47664,0.01005,0.01007,0.01007,0.06842,0.03075,0.04256,0.03217,0.00258,7.30366,7.43734,7.27293,29.04174,9.03483,31.83321,5.70084,1,0.04570
0.88000,2.44962,0.01005,0.01010,0.01010,0.06809,0.02969,0.04246,0.03132,0.00257,7.26251,7.45761,7.29518,28.81071,8.68176,31.65927,5.53691,1,0.04620
0.89000,2.42736,0.01023,0.01096,0.01099,0.06705,0.03067,0.04215,0.03226,0.00251,7.35042,8.09350,7.94408,28.28772,8.92986,31.33445,5.69166,1,0.04680
0.90000,2.40898,0.01005,0.01010,0.01010,0.06682,0.02888,0.04184,0.03086,0.00251,7.18013,7.45680,7.30374,28.10333,8.37205,31.01780,5.43218,1,0.04730
0.91000,2.39295,0.01005,0.01008,0.01007,0.06588,0.02910,0.04131,0.03117,0.00248,7.13982,7.44281,7.28865,27.62408,8.39787,30.53539,5.47411,1,0.04780
0.92000,2.37754,0.01021,0.01088,0.01091,0.06549,0.02964,0.04142,0.03164,0.00244,7.20864,8.02961,7.89301,27.37167,8.51470,30.53298,5.54313,1,0.04830
0.93000,2.36118,0.01019,0.01080,0.01083,0.06493,0.02939,0.04118,0.03149,0.00242,7.15522,7.97071,7.83901,27.04616,8.40405,30.26952,5.50167,1,0.04890
0.94000,2.34251,0.01005,0.01010,0.01010,0.06482,0.02777,0.04102,0.03029,0.00241,7.01782,7.44503,7.31015,26.90780,7.90271,30.06178,5.27762,1,0.04940
0.95000,2.32030,0.01005,0.01010,0.01010,0.06431,0.02737,0.04082,0.03009,0.00241,6.97795,7.44311,7.31273,26.59889,7.75104,29.83112,5.22747,1,0.04990
0.96000,2.29330,0.01018,0.01077,0.01079,0.06328,0.02836,0.04043,0.03082,0.00236,7.02724,7.93153,7.81165,26.08308,7.99518,29.46873,5.33808,1,0.05040
0.97000,2.26038,0.01016,0.01068,0.01070,0.06235,0.02805,0.03994,0.03057,0.00233,6.97065,7.85724,7.74257,25.61078,7.87279,29.03677,5.27965,1,0.05100
0.98000,2.22096,0.01016,0.01069,0.01071,0.06154,0.02748,0.03946,0.03013,0.00230,6.93036,7.85489,7.74355,25.19841,7.68002,28.62057,5.19119,1,0.05150
0.99000,2.17564,0.01013,0.01056,0.01058,0.06026,0.02707,0.03870,0.02975,0.00224,6.86663,7.74983,7.64390,24.61233,7.53872,28.02070,5.11551,1,0.05200
1.00000,2.12667,0.01014,0.01060,0.01062,0.05942,0.02620,0.03810,0.02908,0.00221,6.83093,7.76810,7.66429,24.21773,7.27249,27.54417,4.99194,1,0.05250
1.01000,2.07793,0.01013,0.01057,0.01059,0.05833,0.02552,0.03737,0.02852,0.00216,6.78128,7.73251,7.63243,23.73900,7.06763,26.98588,4.89296,1,0.05310
1.02000,2.03423,0.01010,0.01044,0.01046,0.05707,0.02512,0.03655,0.02813,0.00211,6.71630,7.61830,7.52327,23.20669,6.94383,26.37961,4.82438,1,0.05360
1.03000,1.99997,0.01012,0.01051,0.01052,0.05651,0.02441,0.03612,0.02763,0.00208,6.67904,7.64811,7.55559,22.97097,6.73582,26.06924,4.74072,1,0.05410
1.04000,1.97759,0.01010,0.01043,0.01044,0.05581,0.02418,0.03568,0.02745,0.00205,6.62226,7.56826,7.48009,22.68087,6.66556,25.74858,4.71071,1,0.05460
1.05000,1.96648,0.01009,0.01037,0.01038,0.05540,0.02406,0.03545,0.02738,0.00203,6.57011,7.50532,7.42113,22.50982,6.62360,25.58699,4.70152,1,0.05520
1.06000,1.96268,0.01012,0.01051,0.01052,0.05565,0.02358,0.03564,0.02722,0.00205,6.54384,7.58088,7.49867,22.60303,6.48273,25.72013,4.67413,1,0.05570
1.07000,1.95989,0.01011,0.01049,0.01050,0.05552,0.02354,0.03564,0.02725,0.00205,6.49997,7.54558,7.46692,22.53177,6.45994,25.71284,4.67937,1,0.05620
1.08000,1.95129,0.01011,0.01046,0.01047,0.05527,0.02346,0.03556,0.02724,0.00204,6.45688,7.50685,7.43168,22.40406,6.42797,25.64270,4.67471,1,0.05670
1.09000,1.93174,0.01010,0.01041,0.01042,0.05476,0.02332,0.03529,0.02712,0.00202,6.41270,7.45603,7.38433,22.16993,6.37534,25.43353,4.65053,1,0.05730
1.10000,1.89950,0.01010,0.01044,0.01045,0.05421,0.02280,0.03493,0.02676,0.00201,6.37793,7.45799,7.38894,21.92173,6.22303,25.16500,4.58546,1,0.05780
1.11000,1.85680,0.01009,0.01036,0.01037,0.05311,0.02248,0.03419,0.02638,0.00196,6.32883,7.37586,7.31032,21.46680,6.12757,24.63028,4.51985,1,0.05830
1.12000,1.80907,0.01010,0.01041,0.01041,0.05229,0.02166,0.03357,0.02576,0.00193,6.29388,7.38651,7.32328,21.13714,5.90010,24.18988,4.41706,1,0.05880
1.13000,1.76307,0.01008,0.01031,0.01031,0.05117,0.02117,0.03273,0.02524,0.00187,6.24318,7.28964,7.22940,20.70039,5.76656,23.60708,4.33318,1,0.05940
1.14000,1.72469,0.01008,0.01031,0.01032,0.05038,0.02057,0.03211,0.02475,0.00184,6.20155,7.26498,7.20732,20.41120,5.60686,23.19620,4.25970,1,0.05990
1.15000,1.69714,0.01007,0.01024,0.01025,0.04957,0.02036,0.03150,0.02448,0.00180,6.15253,7.18525,7.13053,20.12307,5.55767,22.79696,4.22536,1,0.06040
1.16000,1.68024,0.01009,0.01033,0.01033,0.04944,0.01969,0.03137,0.02415,0.00179,6.11858,7.21454,7.16184,20.11917,5.38125,22.74980,4.18191,1,0.06090
1.17000,1.67096,0.01008,0.01030,0.01030,0.04910,0.01960,0.03112,0.02407,0.00177,6.07452,7.15870,7.10860,20.02440,5.36355,22.60886,4.18034,1,0.06150
1.18000,1.66492,0.01008,0.01027,0.01027,0.04883,0.01953,0.03093,0.02402,0.00176,6.03239,7.10681,7.05916,19.96043,5.35463,22.51366,4.18562,1,0.06200
1.19000,1.65813,0.01007,0.01024,0.01024,0.04855,0.01947,0.03072,0.02397,0.00174,5.99193,7.05619,7.01083,19.88989,5.34558,22.41067,4.18943,1,0.06250
1.20000,1.64828,0.01007,0.01020,0.01021,0.04820,0.01940,0.03047,0.02388,0.00173,5.95269,7.00437,6.96117,19.78961,5.33296,22.26480,4.18744,1,0.06300
1.21000,1.63521,0.01008,0.01029,0.01030,0.04817,0.01874,0.03043,0.02361,0.00173,5.92378,7.03572,6.99418,19.82389,5.16127,22.27933,4.15318,1,0.06360
1.22000,1.62035,0.01008,0.01026,0.01026,0.04772,0.01861,0.03007,0.02344,0.00170,5.88598,6.98333,6.94376,19.68762,5.13246,22.06743,4.13786,1,0.06410
1.23000,1.60570,0.01007,0.01023,0.01023,0.04726,0.01850,0.02970,0.02328,0.00168,5.84866,6.92986,6.89218,19.54657,5.11377,21.84194,4.12483,1,0.06460
1.24000,1.59272,0.01008,0.01026,0.01027,0.04707,0.01803,0.02953,0.02305,0.00167,5.81722,6.92373,6.88758,19.52561,4.99313,21.76878,4.09936,1,0.06510
1.25000,1.58177,0.01008,0.01024,0.01024,0.04669,0.01795,0.02921,0.02292,0.00165,5.78166,6.87479,6.84032,19.42393,4.98234,21.58514,4.09294,1,0.06570
1.26000,1.57222,0.01007,0.01021,0.01021,0.04634,0.01786,0.02891,0.02280,0.00163,5.74717,6.82676,6.79384,19.34018,4.97047,21.41917,4.08814,1,0.06620
1.27000,1.56309,0.01007,0.01019,0.01019,0.04599,0.01779,0.02861,0.02268,0.00160,5.71346,6.77898,6.74750,19.25654,4.96457,21.24819,4.08513,1,0.06670
1.28000,1.55380,0.01007,0.01016,0.01016,0.04562,0.01774,0.02828,0.02256,0.00158,5.68055,6.73152,6.70135,19.16784,4.96305,21.06497,4.08282,1,0.06720
1.29000,1.54473,0.01008,0.01024,0.01024,0.04565,0.01702,0.02826,0.02229,0.00158,5.65394,6.74856,6.71950,19.25178,4.77723,21.10348,4.05367,1,0.06780
1.30000,1.53710,0.01008,0.01022,0.01022,0.04533,0.01695,0.02795,0.02216,0.00156,5.62230,6.70430,6.67641,19.19016,4.77088,20.93983,4.05102,1,0.06830
1.31000,1.53242,0.01008,0.01020,0.01020,0.04507,0.01688,0.02770,0.02206,0.00154,5.59157,6.66116,6.63434,19.15859,4.76860,20.81151,4.05388,1,0.06880
1.32000,1.53173,0.01007,0.01019,0.01019,0.04490,0.01685,0.02751,0.02201,0.00153,5.56187,6.62037,6.59452,19.16229,4.77645,20.73062,4.06578,1,0.06930
1.33000,1.53496,0.01007,0.01018,0.01018,0.04481,0.01684,0.02738,0.02200,0.00152,5.53352,6.58259,6.55762,19.20445,4.78981,20.70307,4.08564,1,0.06990
1.34000,1.54093,0.01007,0.01017,0.01017,0.04479,0.01684,0.02732,0.02201,0.00151,5.50668,6.54757,6.52340,19.27357,4.80661,20.71371,4.11080,1,0.07040
1.35000,1.54783,0.01007,0.01016,0.01016,0.04480,0.01685,0.02727,0.02204,0.00150,5.48136,6.51466,6.49119,19.35161,4.82437,20.73695,4.13730,1,0.07090
1.36000,1.55399,0.01007,0.01016,0.01016,0.04479,0.01685,0.02720,0.02206,0.00149,5.45746,6.48308,6.46024,19.42249,4.84099,20.74892,4.16160,1,0.07150
1.37000,1.55878,0.01007,0.01015,0.01015,0.04475,0.01685,0.02712,0.02206,0.00148,5.43482,6.45245,6.43016,19.47982,4.85569,20.73920,4.18228,1,0.07200
1.38000,1.56287,0.01007,0.01014,0.01014,0.04470,0.01684,0.02701,0.02205,0.00148,5.41330,6.42296,6.40115,19.53059,4.86946,20.71696,4.20086,1,0.07250
1.39000,1.56811,0.01008,0.01021,0.01022,0.04504,0.01614,0.02723,0.02194,0.00149,5.39587,6.44240,6.42105,19.75337,4.68131,20.93993,4.19999,1,0.07300
1.40000,1.57673,0.01008,0.01021,0.01021,0.04509,0.01615,0.02721,0.02197,0.00148,5.37644,6.41644,6.39548,19.84855,4.69943,20.97984,4.22737,1,0.07360
1.41000,1.59043,0.01008,0.01021,0.01021,0.04526,0.01618,0.02729,0.02207,0.00148,5.35863,6.39381,6.37318,19.99286,4.72327,21.09371,4.26585,1,0.07410
1.42000,1.60962,0.01008,0.01021,0.01022,0.04555,0.01624,0.02748,0.02224,0.00149,5.34290,6.37543,6.35507,20.18956,4.75321,21.29062,4.31653,1,0.07460
1.43000,1.63308,0.01007,0.01015,0.01015,0.04559,0.01705,0.02746,0.02257,0.00148,5.32663,6.31596,6.29579,20.26340,5.00229,21.31922,4.39522,1,0.07510
1.44000,1.65826,0.01008,0.01015,0.01015,0.04606,0.01713,0.02780,0.02281,0.00150,5.31568,6.30568,6.28571,20.51967,5.03540,21.62395,4.45583,1,0.07570
1.45000,1.68193,0.01008,0.01016,0.01016,0.04651,0.01722,0.02815,0.02305,0.00152,5.30742,6.29992,6.28011,20.75645,5.06882,21.91776,4.51336,1,0.07620
1.46000,1.70112,0.01008,0.01017,0.01017,0.04688,0.01729,0.02843,0.02325,0.00153,5.30144,6.29690,6.27719,20.94668,5.09727,22.15823,4.56052,1,0.07670
1.47000,1.71392,0.01008,0.01018,0.01018,0.04712,0.01735,0.02861,0.02339,0.00154,5.29704,6.29432,6.27469,21.07353,5.11654,22.31627,4.59235,1,0.07720
1.48000,1.71989,0.01008,0.01018,0.01018,0.04721,0.01737,0.02868,0.02344,0.00155,5.29351,6.29072,6.27115,21.13372,5.12612,22.38218,4.60783,1,0.07780
1.49000,1.72019,0.01008,0.01018,0.01018,0.04719,0.01736,0.02865,0.02343,0.00154,5.29024,6.28544,6.26591,21.13903,5.12776,22.36839,4.60974,1,0.07830
